NAME,CASTE,GENDER,CUTOFF_RANK,BRANCH,TUITION_FEE
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,FEMALE,86033,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,MALE,115461,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,FEMALE,116897,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,MALE,125476,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,FEMALE,125476,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,MALE,120718,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,FEMALE,123678,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,MALE,79650,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,FEMALE,100023,ECE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,MALE,86863,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,FEMALE,94382,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,MALE,125487,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,FEMALE,125487,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,MALE,119870,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,FEMALE,123076,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,MALE,112943,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,FEMALE,125212,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,MALE,86863,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,FEMALE,94382,EEE,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,MALE,45710,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,FEMALE,57736,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,MALE,115234,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,FEMALE,115234,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,MALE,124955,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,FEMALE,125149,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,MALE,96633,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,FEMALE,101830,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,MALE,55926,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,FEMALE,57895,INF,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,MALE,80078,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,OC,FEMALE,117979,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,MALE,80078,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,BC,FEMALE,117979,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,MALE,125476,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,SC,FEMALE,125476,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,MALE,119320,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ST,FEMALE,119320,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,MALE,80078,MEC,89000
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,EWS,FEMALE,117979,MEC,89000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,MALE,11260,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,FEMALE,11260,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,MALE,34978,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,FEMALE,34978,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,MALE,40214,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,FEMALE,50768,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,MALE,29465,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,FEMALE,42465,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,MALE,11260,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,FEMALE,12029,AID,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,MALE,50783,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,FEMALE,62813,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,MALE,112012,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,FEMALE,112012,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,MALE,122927,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,FEMALE,125544,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,MALE,63743,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,FEMALE,63743,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,MALE,89239,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,EWS,FEMALE,116991,CIV,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,MALE,8233,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,OC,FEMALE,8575,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,MALE,18227,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,BC,FEMALE,24160,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,MALE,30580,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,SC,FEMALE,30580,CSE,135000
B V RAJU INSTITUTE OF TECHNOLOGY,ST,MALE,19046,CSE,135000
